NHS Board / Practice Code,No. of GPs,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Telephone Number,List Size
AYRSHIRE AND ARRAN,322,,,,,,,
80005,9,South Beach Medical Centre,8 Harbour Street,Ardrossan,Ayrshire,KA22 8BS,01294463011,8591
80010,4,Central Avenue Surgery,The Health Centre,6 Central Avenue,Ardrossan,KA22 7DX,01294463838,4088
80058,6,Tam's Brig Surgery,107 New Road,Ayr,Ayrshire,KA8 8DD,01292262697,8528
80062,4,The Surgery,9 Alloway Place,Ayr,Ayrshire,KA7 2AA,01292611835,5333
80077,3,Dalblair Medical Practice,56 Dalblair Road,Ayr,Ayrshire,KA7 1UQ,01292 267432,2219
80081,5,Barns Medical Practice,40 Dalblair Road,Ayr,Ayrshire,KA7 1UL,01292 281439,8907
80096,8,Racecourse Road Medical Group,3 Racecourse Road,Ayr,Ayrshire,KA7 2DF,01292 886622,8767
80109,11,The Cathcart Street Medical Practice,8 Cathcart Street,AYR,AYRSHIRE,KA7 1BJ,01292 264051,8021
80113,5,The Fullarton Medical Practice,40 Dalblair Road,AYR,AYRSHIRE,KA7 1UL,01292 264260,7951
80132,3,Ballantrae Medical Practice,30 Main Street,Ballantrae,Ayrshire,KA26 0NB,01465831302,1497
80147,5,Beith Health Centre GP Practice,Beith Health Centre,Reform Street,Beith,KA15 2AE,01505502888,6167
80166,5,Glencairn Medical Practice,Crosshouse Resource Centre,Annandale Gardens,Crosshouse,KA2 0LE,01563521506,7808
80171,9,Tanyard Medical Practice,The Health Centre,2 Tanyard,Cumnock,KA18 1BF,01290 421157,12189
80185,3,Dailly Medical Practice,The Surgery,"Back Road, Dailly",AYRSHIRE,KA26 9SH,01465811224,1318
80202,5,Dalmellington Medical Practice,Dalmellington Area Centre,33 Main Street,Dalmellington,KA6 7QL,01292 550238,3535
80217,4,Dalry Medical Practice,The Health Centre,50 Vennel Street,Dalry,KA24 4AF,01294 832523,6106
80255,4,Dundonald Medical Practice,9 Main Street,Dundonald,Ayrshire,KA2 9HF,01563 850496,5058
80260,6,Galston Medical Practice,5a Henrietta Street,Galston,AYRSHIRE,KA4 8HW,01563 820424,6107
80274,3,"Drs McMaster, Moore & Brooksbank",Girvan Community Hospital,Bridgemill,Girvan,KA26 9HQ,01465 713 343,4199
80289,3,Dr McCulloch & Partners,Girvan Community Hospital,Bridgemill,Girvan,KA26 9HQ,01465712281,3879
80306,10,Bourtreehill Medical Practice,The Health Centre,Cheviot Way,Irvine,KA11 1JU,01294 211993,8711
80330,4,Eglinton Family Practice,Ayrshire Central Hospital,Kilwinning Road,Irvine,KA12 8TJ,01294 279178,4332
80344,10,Townhead Surgery,6/8 High Street,Irvine,AYRSHIRE,KA12 0AY,01294 441 441,13916
80363,5,Kilbirnie Medical Practice,Kilbirnie Health Centre,2 Kirkland Road,Kilbirnie,KA25 6HP,01505 683 591,7758
80378,9,London Road Medical Practice,12 London Road,Kilmarnock,Ayrshire,KA3 7AE,01563523593,12563
80397,7,Dr Pugh and Partners,The Surgery,31 Portland Road,Kilmarnock,KA1 2DJ,01563522118,11120
80400,10,The Wards Medical Centre,25 Dundonald Road,Kilmarnock,Ayrshire,KA1 1RU,01563526514,12341
80414,6,The Surgery,Old Irvine Road Surgery,4/6 Old Irvine Road,Kilmarnock,KA1 2BD,01563522413,8115
80467,2,Dr Paton & Muduniri,"The Surgery, The Health Centre",6 High Street,Maybole,KA19 7BY,01655 882278,3659
80491,3,Drs Sheward & Partners,"The Surgery, The Health Centre",6 High Street,Maybole,KA19 7BY,01655882708,4108
80518,4,Valley Medical Practice,67 Afton Bridgend,New Cumnock,Ayrshire,KA18 4BA,01290 338242,3910
80522,6,Riverside Medical Practice,1 Doonside Avenue,Patna,AYRSHIRE,KA6 7LX,01292 532 500,4098
80537,7,Station Road Medical Practice,2 Station Road,Prestwick,Ayrshire,KA9 1AQ,01292 671444,10358
80541,5,Kirkhall Surgery,4 Alexandra Avenue,Prestwick,Ayrshire,KA9 1AW,01292 476626,6704
80556,9,Saltcoats Group Practice,The Health Centre,17/19 Raise Street,Saltcoats,KA21 5LX,01294 605141,10689
80561,3,"Drs Rai, Chan & Rai",37a The Lane,Skelmorlie,AYRSHIRE,PA17 5AR,01475 520248,4002
80594,7,Stewarton Medical Practice,The Health Centre,45 High Street,Stewarton,KA3 5BP,01560 482011,10168
80607,5,Templehill Surgery,23 Templehill,Troon,Ayrshire,KA10 6BQ,01292 312012,7421
80611,6,"Drs McHattie, McGregor & Holland",Portland Surgery,1 Dukes Road,Troon,KA10 6QR,01292 312489,4278
80626,5,101 Medical Practice,The Surgery,101 Portland Street,Troon,KA10 6QN,01292 310535,6072
80631,6,West Kilbride Group Practice,107b Main Street,West Kilbride,AYRSHIRE,KA23 9AR,01294 823607,5551
80679,1,Cumbrae Medical Practice,Garrison House,College Street,Millport,KA28 0DE,01475 531 400,1253
80698,11,Frew Terrace Surgery,9 Frew Terrace,Irvine,Ayrshire,KA12 9DY,01294 272326,11166
80701,2,Stevenston Group Practice,The Health Centre,20 Main Street,Stevenston,KA20 3AA,01294 464413,4267
80720,7,Taiglum Medical Practice,Drongan Centre,Mill Of Shields Road,Drongan,KA6 7AY,01292 591345,8852
80749,8,Ballochmyle Medical Group,The Clinic,Institute Avenue,Catrine,KA5 6RU,01290 456001,8896
80753,9,Kilwinning Medical Practice,15 Almswall Road,Kilwinning,Ayrshire,KA13 6BL,01294 554 591,12872
80768,3,Oxenward Surgery,3 Oxenward Road,Kilwinning,Ayrshire,KA13 6EH,01294 551555,4436
80772,2,Auchinleck Surgery,The Health Centre,Main Street,Auchinleck,KA18 2AY,01290 424 713,2815
80787,7,Dr Kondol and Partners,Loudoun Medical Centre,Lochore Terrace,Darvel,KA17 0HD,01560 320205,9047
80842,4,Bankfield Medical Practice,148 Dalmellington Road,Ayr,Ayrshire,KA7 3PR,01292 264080,4809
80857,12,Largs Medical Group,Brooksby Medical & Resource Centre,31 Brisbane Road,Largs,KA30 8LH,01475 674545,13305
80895,4,Three Towns Medical Practice,The Health Centre,20 Main Street,Stevenston,KA20 3AA,01294 464141,7526
80908,5,Portland Medical Practice,34 Portland Road,Kilmarnock,Ayrshire,KA1 2DL,01563 522411,10470
80927,11,Arran Medical Group,The Medical Centre,Lamlash,Isle of Arran,KA27 8NS,01770 600516,4871
80946,2,COMMUNITY WARDS,BIGGART HOPSITAL,BIGGART ROAD,PRESTWICK,KA9 2HQ,01294 400616, 
BORDERS,122, , , , , , , 
16013,3,Roxburgh Street Surgery,10 Roxburgh Street,Galashiels,0,TD1 1PF,01896 752557,3287
16032,5,Jedburgh Medical Practice,The Health Centre,Queen Street,Jedburgh,TD8 6EN,01835 863361,6606
16047,2,Newcastleton Medical Practice,Moss Road,Newcastleton,0,TD9 0RU,01387 375100,1575
16051,5,Eildon Surgery,Auction Market,Newtown St Boswells,0,TD6 0PP,01835 822777,6613
16066,5,Merse Medical Practice,South Crofts,Chirnside,0,TD11 3XP,01890 818253,6412
16085,10,Selkirk Medical Practice,The Health Centre,Viewfield Lane,Selkirk,TD7 4LJ,01750 21674,7227
16121,4,St Ronan's Practice,St Ronan's Health Centre,Innerleithen,0,EH44 6QE,01896 830203,4490
16136,11,Kelso Medical Group,Kelso Health Centre,Inch Road,Kelso,TD5 7LF,01573 224424,11818
16141,5,O'Connell Street Medical Practice,O'Connell Street Medical Centre,O'Connell Street,Hawick,TD9 9HU,01450 372276,6487
16160,6,The Neidpath Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721 720380,6033
16174,5,West Linton Medical Practice,The Health Centre,Deanfoot Road,West Linton,EH46 7EX,01968 660808,3634
16193,3,The Ellwyn Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896 661355,3102
16206,7,Coldstream Medical Practice,The Health Centre,Kelso Road,Coldstream,TD12 4LQ,01890 882711,3754
16211,8,The Tweed Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721 720601,5465
16230,5,Braeside Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896 661360,4795
16244,1,Glenfield Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896 661363,2090
16259,5,Waverley Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896 661350,4974
16475,1,Greenlaw Surgery,Duns Road,Greenlaw,Berwickshire,TD10 6XJ,01361 810216,1338
16507,8,Eyemouth Medical Practice,The Health Centre,Houndlaw Park,Eyemouth,TD14 5DD,01890 750383,6330
16545,11,Teviot Medical Practice,Teviot Road,Hawick,0,TD9 9DT,01450 370999,10712
16550,4,Stow & Lauder Health,Stow Health Centre,Station Road,Stow,TD1 2SQ,01896 661440,4372
16564,5,Earlston Medical Practice,Earlston Health Centre,Kidgate,Earlston,TD4 6DW,01896 848333,3096
16583,3,Duns Medical Group,The Knoll,Station Road,Duns,TD11 3EL,01361885040,3035
DUMFRIES AND GALLOWAY,128, , , , , , , 
18057,3,Lochinch Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776 743935,3001
18095,4,Loch Ree Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776 743932,5142
18112,2,Mull of Galloway Practice,Drummore,Stranraer,0,DG9 9QQ,01776 840205,691
18131,2,Dr J W M Dunn & Partner,The Surgery,High Vennel,Wigtown,DG8 9JQ,01988 402210,2404
18151,4,Cairnsmore Medical Practice,Health Centre,Creebridge,Newton Stewart,DG8 6NR,01671 403609,3840
18165,2,The Merrick Practice,The Surgery,St Couan Crescent,Kirkcowan,DG8 0HH,01671 830206,2293
18184,7,Castle Douglas Medical Group,Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556 505900,6890
18199,4,Solway Medical Group,Health Centre,Kirkcudbright,0,DG6 4BJ,01557 330755,6456
18216,3,Dr E A Carson & Partners,Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556 502050,3782
18235,3,Glenkens Medical Practice,High Street,New Galloway,0,DG7 3RN,01644 420234,1760
18240,7,Dalbeattie Medical Practice,Craignair Health Centre,Port Road,Dalbeattie,DG5 4AZ,01556 610331,4708
18254,2,Shebburn Medical Practice,Shebburn Surgery,New Abbey,0,DG2 8BY,01387 850263,2801
18273,3,St Michaels Medical Centre,St Michaels Bridge Road,Dumfries,0,DG1 2PX,01387 244950,7692
